

============================== EXP at 2025-03-30 17:58:20 ==============================
dev | avg_loss: 2.242730229287534 | {'exact_match': 0.0, 'rougeL': 5.0034}
train | epoch   0 | Iter:      4/  8460 | global iter:      4/  8460 | loss: 3.9750 | ds_loss: 3.9655 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.341
train | epoch   0 | Iter:      8/  8460 | global iter:      8/  8460 | loss: 2.6915 | ds_loss: 2.6972 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     12/  8460 | global iter:     12/  8460 | loss: 1.8023 | ds_loss: 1.8059 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     16/  8460 | global iter:     16/  8460 | loss: 1.4649 | ds_loss: 1.4751 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     20/  8460 | global iter:     20/  8460 | loss: 1.7685 | ds_loss: 1.7699 | lr: 4.9999e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     24/  8460 | global iter:     24/  8460 | loss: 1.5981 | ds_loss: 1.6000 | lr: 4.9999e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     28/  8460 | global iter:     28/  8460 | loss: 1.4186 | ds_loss: 1.4309 | lr: 4.9999e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     32/  8460 | global iter:     32/  8460 | loss: 1.1967 | ds_loss: 1.1998 | lr: 4.9998e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     36/  8460 | global iter:     36/  8460 | loss: 1.4114 | ds_loss: 1.4248 | lr: 4.9998e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.290
train | epoch   0 | Iter:     40/  8460 | global iter:     40/  8460 | loss: 1.3392 | ds_loss: 1.3384 | lr: 4.9997e-04 | scale:     1.0000 | micro time: 0.291 | step time: 0.290
train | epoch   0 | Iter:     44/  8460 | global iter:     44/  8460 | loss: 1.3131 | ds_loss: 1.3288 | lr: 4.9997e-04 | scale:     1.0000 | micro time: 0.290 | step time: 0.291
