

============================== EXP at 2025-04-20 18:33:03 ==============================
dev | avg_loss: 2.75830078125 | {'exact_match': 0.0, 'rougeL': 5.9377}
train | epoch   0 | Iter:      4/156230 | global iter:      4/156230 | loss: 2.9215 | ds_loss: 2.9434 | lr: 1.0000e-04 | scale: 268435456.0000 | micro time: 1.274 | step time: 1.345
train | epoch   0 | Iter:      8/156230 | global iter:      8/156230 | loss: 2.9034 | ds_loss: 2.9226 | lr: 1.0000e-04 | scale: 16777216.0000 | micro time: 1.257 | step time: 1.272
train | epoch   0 | Iter:     12/156230 | global iter:     12/156230 | loss: 2.9768 | ds_loss: 3.0026 | lr: 1.0000e-04 | scale: 1048576.0000 | micro time: 1.261 | step time: 1.299
train | epoch   0 | Iter:     16/156230 | global iter:     16/156230 | loss: 2.9773 | ds_loss: 2.9993 | lr: 1.0000e-04 | scale: 65536.0000 | micro time: 1.299 | step time: 1.292
train | epoch   0 | Iter:     20/156230 | global iter:     20/156230 | loss: 3.0127 | ds_loss: 3.0416 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.303 | step time: 1.297
train | epoch   0 | Iter:     24/156230 | global iter:     24/156230 | loss: 2.5043 | ds_loss: 2.5172 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.361 | step time: 1.399
train | epoch   0 | Iter:     28/156230 | global iter:     28/156230 | loss: 1.9834 | ds_loss: 2.0021 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.325 | step time: 1.330
train | epoch   0 | Iter:     32/156230 | global iter:     32/156230 | loss: 1.8084 | ds_loss: 1.8226 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.339 | step time: 1.343
train | epoch   0 | Iter:     36/156230 | global iter:     36/156230 | loss: 1.7639 | ds_loss: 1.7774 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.324 | step time: 1.364
train | epoch   0 | Iter:     40/156230 | global iter:     40/156230 | loss: 1.7145 | ds_loss: 1.7313 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.339 | step time: 1.359
train | epoch   0 | Iter:     44/156230 | global iter:     44/156230 | loss: 1.6596 | ds_loss: 1.6750 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.400 | step time: 1.366
train | epoch   0 | Iter:     48/156230 | global iter:     48/156230 | loss: 1.6317 | ds_loss: 1.6425 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.368 | step time: 1.362
train | epoch   0 | Iter:     52/156230 | global iter:     52/156230 | loss: 1.6823 | ds_loss: 1.6999 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.364 | step time: 1.366
train | epoch   0 | Iter:     56/156230 | global iter:     56/156230 | loss: 1.5656 | ds_loss: 1.5778 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.377 | step time: 1.368
train | epoch   0 | Iter:     60/156230 | global iter:     60/156230 | loss: 1.5553 | ds_loss: 1.5725 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.341 | step time: 1.357
train | epoch   0 | Iter:     64/156230 | global iter:     64/156230 | loss: 1.6164 | ds_loss: 1.6329 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.327 | step time: 1.358
train | epoch   0 | Iter:     68/156230 | global iter:     68/156230 | loss: 1.5102 | ds_loss: 1.5194 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.360 | step time: 1.372
train | epoch   0 | Iter:     72/156230 | global iter:     72/156230 | loss: 1.5438 | ds_loss: 1.5529 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.338 | step time: 1.366
train | epoch   0 | Iter:     76/156230 | global iter:     76/156230 | loss: 1.5429 | ds_loss: 1.5495 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.372 | step time: 1.373
train | epoch   0 | Iter:     80/156230 | global iter:     80/156230 | loss: 1.5524 | ds_loss: 1.5624 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.376 | step time: 1.368
train | epoch   0 | Iter:     84/156230 | global iter:     84/156230 | loss: 1.5896 | ds_loss: 1.6087 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.362 | step time: 1.372
train | epoch   0 | Iter:     88/156230 | global iter:     88/156230 | loss: 1.4999 | ds_loss: 1.5118 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.335 | step time: 1.364
train | epoch   0 | Iter:     92/156230 | global iter:     92/156230 | loss: 1.5947 | ds_loss: 1.6021 | lr: 1.0000e-04 | scale:  4096.0000 | micro time: 1.371 | step time: 1.369
