

============================== EXP at 2025-04-06 20:45:59 ==============================
dev | avg_loss: 2.242730201901616 | {'exact_match': 0.0, 'rougeL': 5.0513}
train | epoch   0 | Iter:      4/  8460 | global iter:      4/  8460 | loss: 3.5744 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.476
train | epoch   0 | Iter:      8/  8460 | global iter:      8/  8460 | loss: 2.4514 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     12/  8460 | global iter:     12/  8460 | loss: 1.7062 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.427 | step time: 0.427
train | epoch   0 | Iter:     16/  8460 | global iter:     16/  8460 | loss: 1.3114 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     20/  8460 | global iter:     20/  8460 | loss: 1.7916 | ds_loss: 0.0000 | lr: 4.9999e-04 | scale:     1.0000 | micro time: 0.427 | step time: 0.428
train | epoch   0 | Iter:     24/  8460 | global iter:     24/  8460 | loss: 1.5485 | ds_loss: 0.0000 | lr: 4.9999e-04 | scale:     1.0000 | micro time: 0.427 | step time: 0.428
train | epoch   0 | Iter:     28/  8460 | global iter:     28/  8460 | loss: 1.5216 | ds_loss: 0.0000 | lr: 4.9999e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     32/  8460 | global iter:     32/  8460 | loss: 1.1760 | ds_loss: 0.0000 | lr: 4.9998e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     36/  8460 | global iter:     36/  8460 | loss: 1.4505 | ds_loss: 0.0000 | lr: 4.9998e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     40/  8460 | global iter:     40/  8460 | loss: 1.1925 | ds_loss: 0.0000 | lr: 4.9997e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     44/  8460 | global iter:     44/  8460 | loss: 1.3099 | ds_loss: 0.0000 | lr: 4.9997e-04 | scale:     1.0000 | micro time: 0.427 | step time: 0.428
train | epoch   0 | Iter:     48/  8460 | global iter:     48/  8460 | loss: 1.8507 | ds_loss: 0.0000 | lr: 4.9996e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     52/  8460 | global iter:     52/  8460 | loss: 0.9153 | ds_loss: 0.0000 | lr: 4.9995e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
train | epoch   0 | Iter:     56/  8460 | global iter:     56/  8460 | loss: 1.1148 | ds_loss: 0.0000 | lr: 4.9995e-04 | scale:     1.0000 | micro time: 0.428 | step time: 0.428
