

============================== EXP at 2025-04-20 21:19:04 ==============================
dev | avg_loss: 2.75830078125 | {'exact_match': 0.0, 'rougeL': 5.9377}
train | epoch   0 | Iter:      4/312460 | global iter:      4/312460 | loss: 3.0452 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale: 268435456.0000 | micro time: 0.183 | step time: 0.213
train | epoch   0 | Iter:      8/312460 | global iter:      8/312460 | loss: 2.8626 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale: 16777216.0000 | micro time: 0.194 | step time: 0.192
train | epoch   0 | Iter:     12/312460 | global iter:     12/312460 | loss: 2.8546 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale: 1048576.0000 | micro time: 0.209 | step time: 0.189
train | epoch   0 | Iter:     16/312460 | global iter:     16/312460 | loss: 2.9540 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale: 65536.0000 | micro time: 0.209 | step time: 0.194
train | epoch   0 | Iter:     20/312460 | global iter:     20/312460 | loss: 2.9592 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:  4096.0000 | micro time: 0.208 | step time: 0.199
train | epoch   0 | Iter:     24/312460 | global iter:     24/312460 | loss: 5.9932 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:   512.0000 | micro time: 0.182 | step time: 0.264
train | epoch   0 | Iter:     28/312460 | global iter:     28/312460 | loss: 4.3948 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:   512.0000 | micro time: 0.266 | step time: 0.259
train | epoch   0 | Iter:     32/312460 | global iter:     32/312460 | loss: 2.3490 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:   512.0000 | micro time: 0.267 | step time: 0.269
train | epoch   0 | Iter:     36/312460 | global iter:     36/312460 | loss: 2.1774 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:   512.0000 | micro time: 0.253 | step time: 0.250
train | epoch   0 | Iter:     40/312460 | global iter:     40/312460 | loss: 1.9364 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:   512.0000 | micro time: 0.248 | step time: 0.259
train | epoch   0 | Iter:     44/312460 | global iter:     44/312460 | loss: 1.8090 | ds_loss: 0.0000 | lr: 5.0000e-04 | scale:   512.0000 | micro time: 0.297 | step time: 0.269
