

============================== EXP at 2025-03-30 15:58:07 ==============================
dev | avg_loss: 2.0050376105952905 | {'exact_match': 0.0, 'rougeL': 5.9845}
train | epoch   0 | Iter:      4/  8460 | global iter:      4/  8460 | loss: 1.7861 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 0.791 | step time: 0.775
train | epoch   0 | Iter:      8/  8460 | global iter:      8/  8460 | loss: 1.5946 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 0.906 | step time: 0.911
train | epoch   0 | Iter:     12/  8460 | global iter:     12/  8460 | loss: 1.1367 | ds_loss: 0.0000 | lr: 1.0000e-04 | scale:     1.0000 | micro time: 0.887 | step time: 0.891
train | epoch   0 | Iter:     16/  8460 | global iter:     16/  8460 | loss: 1.0182 | ds_loss: 0.0000 | lr: 9.9999e-05 | scale:     1.0000 | micro time: 0.905 | step time: 0.877
train | epoch   0 | Iter:     20/  8460 | global iter:     20/  8460 | loss: 1.4622 | ds_loss: 0.0000 | lr: 9.9999e-05 | scale:     1.0000 | micro time: 1.032 | step time: 0.899
train | epoch   0 | Iter:     24/  8460 | global iter:     24/  8460 | loss: 1.0606 | ds_loss: 0.0000 | lr: 9.9998e-05 | scale:     1.0000 | micro time: 0.811 | step time: 0.891
train | epoch   0 | Iter:     28/  8460 | global iter:     28/  8460 | loss: 0.9218 | ds_loss: 0.0000 | lr: 9.9997e-05 | scale:     1.0000 | micro time: 0.806 | step time: 0.880
train | epoch   0 | Iter:     32/  8460 | global iter:     32/  8460 | loss: 0.8887 | ds_loss: 0.0000 | lr: 9.9996e-05 | scale:     1.0000 | micro time: 0.922 | step time: 0.870
train | epoch   0 | Iter:     36/  8460 | global iter:     36/  8460 | loss: 0.8810 | ds_loss: 0.0000 | lr: 9.9996e-05 | scale:     1.0000 | micro time: 0.980 | step time: 0.884
train | epoch   0 | Iter:     40/  8460 | global iter:     40/  8460 | loss: 0.7476 | ds_loss: 0.0000 | lr: 9.9994e-05 | scale:     1.0000 | micro time: 0.823 | step time: 0.828
train | epoch   0 | Iter:     44/  8460 | global iter:     44/  8460 | loss: 0.7991 | ds_loss: 0.0000 | lr: 9.9993e-05 | scale:     1.0000 | micro time: 0.791 | step time: 0.917
train | epoch   0 | Iter:     48/  8460 | global iter:     48/  8460 | loss: 1.2799 | ds_loss: 0.0000 | lr: 9.9992e-05 | scale:     1.0000 | micro time: 0.797 | step time: 0.837
train | epoch   0 | Iter:     52/  8460 | global iter:     52/  8460 | loss: 0.6320 | ds_loss: 0.0000 | lr: 9.9991e-05 | scale:     1.0000 | micro time: 0.762 | step time: 0.872
train | epoch   0 | Iter:     56/  8460 | global iter:     56/  8460 | loss: 0.8372 | ds_loss: 0.0000 | lr: 9.9989e-05 | scale:     1.0000 | micro time: 0.971 | step time: 0.927
train | epoch   0 | Iter:     60/  8460 | global iter:     60/  8460 | loss: 0.7202 | ds_loss: 0.0000 | lr: 9.9988e-05 | scale:     1.0000 | micro time: 0.951 | step time: 0.997
train | epoch   0 | Iter:     64/  8460 | global iter:     64/  8460 | loss: 0.6748 | ds_loss: 0.0000 | lr: 9.9986e-05 | scale:     1.0000 | micro time: 0.898 | step time: 0.839
train | epoch   0 | Iter:     68/  8460 | global iter:     68/  8460 | loss: 0.9083 | ds_loss: 0.0000 | lr: 9.9984e-05 | scale:     1.0000 | micro time: 0.830 | step time: 0.878
train | epoch   0 | Iter:     72/  8460 | global iter:     72/  8460 | loss: 0.6455 | ds_loss: 0.0000 | lr: 9.9982e-05 | scale:     1.0000 | micro time: 0.794 | step time: 0.908
train | epoch   0 | Iter:     76/  8460 | global iter:     76/  8460 | loss: 0.5058 | ds_loss: 0.0000 | lr: 9.9980e-05 | scale:     1.0000 | micro time: 0.792 | step time: 0.841
train | epoch   0 | Iter:     80/  8460 | global iter:     80/  8460 | loss: 0.9604 | ds_loss: 0.0000 | lr: 9.9978e-05 | scale:     1.0000 | micro time: 1.039 | step time: 0.920
train | epoch   0 | Iter:     84/  8460 | global iter:     84/  8460 | loss: 0.8783 | ds_loss: 0.0000 | lr: 9.9976e-05 | scale:     1.0000 | micro time: 0.859 | step time: 0.835
train | epoch   0 | Iter:     88/  8460 | global iter:     88/  8460 | loss: 0.7877 | ds_loss: 0.0000 | lr: 9.9973e-05 | scale:     1.0000 | micro time: 0.953 | step time: 0.942
train | epoch   0 | Iter:     92/  8460 | global iter:     92/  8460 | loss: 0.5292 | ds_loss: 0.0000 | lr: 9.9971e-05 | scale:     1.0000 | micro time: 0.781 | step time: 0.856
train | epoch   0 | Iter:     96/  8460 | global iter:     96/  8460 | loss: 0.7568 | ds_loss: 0.0000 | lr: 9.9968e-05 | scale:     1.0000 | micro time: 0.860 | step time: 0.899
train | epoch   0 | Iter:    100/  8460 | global iter:    100/  8460 | loss: 0.7553 | ds_loss: 0.0000 | lr: 9.9966e-05 | scale:     1.0000 | micro time: 0.829 | step time: 0.821
train | epoch   0 | Iter:    104/  8460 | global iter:    104/  8460 | loss: 0.9380 | ds_loss: 0.0000 | lr: 9.9963e-05 | scale:     1.0000 | micro time: 0.940 | step time: 0.943
train | epoch   0 | Iter:    108/  8460 | global iter:    108/  8460 | loss: 0.7602 | ds_loss: 0.0000 | lr: 9.9960e-05 | scale:     1.0000 | micro time: 0.866 | step time: 0.864
train | epoch   0 | Iter:    112/  8460 | global iter:    112/  8460 | loss: 0.6415 | ds_loss: 0.0000 | lr: 9.9957e-05 | scale:     1.0000 | micro time: 0.959 | step time: 0.829
train | epoch   0 | Iter:    116/  8460 | global iter:    116/  8460 | loss: 0.6840 | ds_loss: 0.0000 | lr: 9.9954e-05 | scale:     1.0000 | micro time: 0.754 | step time: 0.856
train | epoch   0 | Iter:    120/  8460 | global iter:    120/  8460 | loss: 1.2162 | ds_loss: 0.0000 | lr: 9.9950e-05 | scale:     1.0000 | micro time: 0.892 | step time: 0.916
train | epoch   0 | Iter:    124/  8460 | global iter:    124/  8460 | loss: 0.5800 | ds_loss: 0.0000 | lr: 9.9947e-05 | scale:     1.0000 | micro time: 0.726 | step time: 0.843
train | epoch   0 | Iter:    128/  8460 | global iter:    128/  8460 | loss: 0.5970 | ds_loss: 0.0000 | lr: 9.9944e-05 | scale:     1.0000 | micro time: 0.719 | step time: 0.817
train | epoch   0 | Iter:    132/  8460 | global iter:    132/  8460 | loss: 0.8462 | ds_loss: 0.0000 | lr: 9.9940e-05 | scale:     1.0000 | micro time: 1.010 | step time: 0.882
train | epoch   0 | Iter:    136/  8460 | global iter:    136/  8460 | loss: 0.5797 | ds_loss: 0.0000 | lr: 9.9936e-05 | scale:     1.0000 | micro time: 0.913 | step time: 0.892
train | epoch   0 | Iter:    140/  8460 | global iter:    140/  8460 | loss: 0.7936 | ds_loss: 0.0000 | lr: 9.9933e-05 | scale:     1.0000 | micro time: 0.897 | step time: 0.884
