

============================== EXP at 2025-04-06 22:15:26 ==============================


============================== EXP at 2025-04-06 22:23:32 ==============================
dev | avg_loss: 2.0389120449890963 | {'exact_match': 0.0, 'rougeL': 5.9842}


============================== EXP at 2025-04-06 22:40:16 ==============================
dev | avg_loss: 2.03891194188917 | {'exact_match': 0.0, 'rougeL': 5.5521}
train | epoch   0 | Iter:      4/  2110 | global iter:      4/  2110 | loss: 1.5301 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale:     1.0000 | micro time: 3.787 | step time: 3.887
train | epoch   0 | Iter:      8/  2110 | global iter:      8/  2110 | loss: 0.8585 | ds_loss: 0.0000 | lr: 4.9998e-05 | scale:     1.0000 | micro time: 3.794 | step time: 3.789
train | epoch   0 | Iter:     12/  2110 | global iter:     12/  2110 | loss: 0.7856 | ds_loss: 0.0000 | lr: 4.9996e-05 | scale:     1.0000 | micro time: 3.801 | step time: 3.784
train | epoch   0 | Iter:     16/  2110 | global iter:     16/  2110 | loss: 0.5521 | ds_loss: 0.0000 | lr: 4.9993e-05 | scale:     1.0000 | micro time: 3.774 | step time: 3.790
train | epoch   0 | Iter:     20/  2110 | global iter:     20/  2110 | loss: 0.5817 | ds_loss: 0.0000 | lr: 4.9989e-05 | scale:     1.0000 | micro time: 3.769 | step time: 3.790
train | epoch   0 | Iter:     24/  2110 | global iter:     24/  2110 | loss: 0.5537 | ds_loss: 0.0000 | lr: 4.9984e-05 | scale:     1.0000 | micro time: 3.806 | step time: 3.793
train | epoch   0 | Iter:     28/  2110 | global iter:     28/  2110 | loss: 0.5904 | ds_loss: 0.0000 | lr: 4.9978e-05 | scale:     1.0000 | micro time: 3.782 | step time: 3.791
train | epoch   0 | Iter:     32/  2110 | global iter:     32/  2110 | loss: 0.5803 | ds_loss: 0.0000 | lr: 4.9972e-05 | scale:     1.0000 | micro time: 3.774 | step time: 3.784
train | epoch   0 | Iter:     36/  2110 | global iter:     36/  2110 | loss: 0.4436 | ds_loss: 0.0000 | lr: 4.9964e-05 | scale:     1.0000 | micro time: 3.793 | step time: 3.786
train | epoch   0 | Iter:     40/  2110 | global iter:     40/  2110 | loss: 0.5811 | ds_loss: 0.0000 | lr: 4.9956e-05 | scale:     1.0000 | micro time: 3.762 | step time: 3.785
train | epoch   0 | Iter:     44/  2110 | global iter:     44/  2110 | loss: 0.5664 | ds_loss: 0.0000 | lr: 4.9946e-05 | scale:     1.0000 | micro time: 3.786 | step time: 3.784
train | epoch   0 | Iter:     48/  2110 | global iter:     48/  2110 | loss: 0.4779 | ds_loss: 0.0000 | lr: 4.9936e-05 | scale:     1.0000 | micro time: 3.814 | step time: 3.789
train | epoch   0 | Iter:     52/  2110 | global iter:     52/  2110 | loss: 0.6219 | ds_loss: 0.0000 | lr: 4.9925e-05 | scale:     1.0000 | micro time: 3.790 | step time: 3.791
train | epoch   0 | Iter:     56/  2110 | global iter:     56/  2110 | loss: 0.4710 | ds_loss: 0.0000 | lr: 4.9913e-05 | scale:     1.0000 | micro time: 3.792 | step time: 3.782
train | epoch   0 | Iter:     60/  2110 | global iter:     60/  2110 | loss: 0.5103 | ds_loss: 0.0000 | lr: 4.9901e-05 | scale:     1.0000 | micro time: 3.790 | step time: 3.780
train | epoch   0 | Iter:     64/  2110 | global iter:     64/  2110 | loss: 0.5477 | ds_loss: 0.0000 | lr: 4.9887e-05 | scale:     1.0000 | micro time: 3.775 | step time: 3.778
train | epoch   0 | Iter:     68/  2110 | global iter:     68/  2110 | loss: 0.4802 | ds_loss: 0.0000 | lr: 4.9872e-05 | scale:     1.0000 | micro time: 3.767 | step time: 3.787
train | epoch   0 | Iter:     72/  2110 | global iter:     72/  2110 | loss: 0.5416 | ds_loss: 0.0000 | lr: 4.9857e-05 | scale:     1.0000 | micro time: 3.772 | step time: 3.780
train | epoch   0 | Iter:     76/  2110 | global iter:     76/  2110 | loss: 0.5943 | ds_loss: 0.0000 | lr: 4.9840e-05 | scale:     1.0000 | micro time: 3.777 | step time: 3.782
train | epoch   0 | Iter:     80/  2110 | global iter:     80/  2110 | loss: 0.4331 | ds_loss: 0.0000 | lr: 4.9823e-05 | scale:     1.0000 | micro time: 3.763 | step time: 3.781
train | epoch   0 | Iter:     84/  2110 | global iter:     84/  2110 | loss: 0.3913 | ds_loss: 0.0000 | lr: 4.9805e-05 | scale:     1.0000 | micro time: 3.782 | step time: 3.781
train | epoch   0 | Iter:     88/  2110 | global iter:     88/  2110 | loss: 0.4009 | ds_loss: 0.0000 | lr: 4.9786e-05 | scale:     1.0000 | micro time: 3.786 | step time: 3.779
train | epoch   0 | Iter:     92/  2110 | global iter:     92/  2110 | loss: 0.5015 | ds_loss: 0.0000 | lr: 4.9766e-05 | scale:     1.0000 | micro time: 3.806 | step time: 3.786
train | epoch   0 | Iter:     96/  2110 | global iter:     96/  2110 | loss: 0.5289 | ds_loss: 0.0000 | lr: 4.9746e-05 | scale:     1.0000 | micro time: 3.816 | step time: 3.790
train | epoch   0 | Iter:    100/  2110 | global iter:    100/  2110 | loss: 0.4940 | ds_loss: 0.0000 | lr: 4.9724e-05 | scale:     1.0000 | micro time: 3.786 | step time: 3.781
train | epoch   0 | Iter:    104/  2110 | global iter:    104/  2110 | loss: 0.5069 | ds_loss: 0.0000 | lr: 4.9701e-05 | scale:     1.0000 | micro time: 3.802 | step time: 3.793
train | epoch   0 | Iter:    108/  2110 | global iter:    108/  2110 | loss: 0.4507 | ds_loss: 0.0000 | lr: 4.9678e-05 | scale:     1.0000 | micro time: 3.766 | step time: 3.783
train | epoch   0 | Iter:    112/  2110 | global iter:    112/  2110 | loss: 0.4575 | ds_loss: 0.0000 | lr: 4.9654e-05 | scale:     1.0000 | micro time: 3.786 | step time: 3.790
train | epoch   0 | Iter:    116/  2110 | global iter:    116/  2110 | loss: 0.4814 | ds_loss: 0.0000 | lr: 4.9629e-05 | scale:     1.0000 | micro time: 3.763 | step time: 3.787
train | epoch   0 | Iter:    120/  2110 | global iter:    120/  2110 | loss: 0.4207 | ds_loss: 0.0000 | lr: 4.9603e-05 | scale:     1.0000 | micro time: 3.778 | step time: 3.786
train | epoch   0 | Iter:    124/  2110 | global iter:    124/  2110 | loss: 0.4008 | ds_loss: 0.0000 | lr: 4.9576e-05 | scale:     1.0000 | micro time: 3.795 | step time: 3.783
train | epoch   0 | Iter:    128/  2110 | global iter:    128/  2110 | loss: 0.3721 | ds_loss: 0.0000 | lr: 4.9548e-05 | scale:     1.0000 | micro time: 3.788 | step time: 3.782
train | epoch   0 | Iter:    132/  2110 | global iter:    132/  2110 | loss: 0.4153 | ds_loss: 0.0000 | lr: 4.9520e-05 | scale:     1.0000 | micro time: 3.774 | step time: 3.787
train | epoch   0 | Iter:    136/  2110 | global iter:    136/  2110 | loss: 0.3173 | ds_loss: 0.0000 | lr: 4.9490e-05 | scale:     1.0000 | micro time: 3.790 | step time: 3.792
train | epoch   0 | Iter:    140/  2110 | global iter:    140/  2110 | loss: 0.4936 | ds_loss: 0.0000 | lr: 4.9460e-05 | scale:     1.0000 | micro time: 3.786 | step time: 3.789
train | epoch   0 | Iter:    144/  2110 | global iter:    144/  2110 | loss: 0.4531 | ds_loss: 0.0000 | lr: 4.9429e-05 | scale:     1.0000 | micro time: 3.774 | step time: 3.791
train | epoch   0 | Iter:    148/  2110 | global iter:    148/  2110 | loss: 0.4834 | ds_loss: 0.0000 | lr: 4.9397e-05 | scale:     1.0000 | micro time: 3.787 | step time: 3.785
