

============================== EXP at 2025-04-20 04:02:58 ==============================
dev | avg_loss: 2.7389322916666665 | {'exact_match': 0.0, 'rougeL': 13.2054}
train | epoch   0 | Iter:      4/624920 | global iter:      4/624920 | loss: 2.9719 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 268435456.0000 | micro time: 1.233 | step time: 1.313
train | epoch   0 | Iter:      8/624920 | global iter:      8/624920 | loss: 2.7650 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 16777216.0000 | micro time: 1.117 | step time: 1.126
train | epoch   0 | Iter:     12/624920 | global iter:     12/624920 | loss: 2.5555 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 1048576.0000 | micro time: 1.123 | step time: 1.128
train | epoch   0 | Iter:     16/624920 | global iter:     16/624920 | loss: 2.7669 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 131072.0000 | micro time: 1.508 | step time: 1.228
train | epoch   0 | Iter:     20/624920 | global iter:     20/624920 | loss: 2.0675 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.850 | step time: 1.766
train | epoch   0 | Iter:     24/624920 | global iter:     24/624920 | loss: 1.4320 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.821 | step time: 1.761
train | epoch   0 | Iter:     28/624920 | global iter:     28/624920 | loss: 1.3733 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.760 | step time: 1.779
train | epoch   0 | Iter:     32/624920 | global iter:     32/624920 | loss: 1.3617 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.853 | step time: 1.779
train | epoch   0 | Iter:     36/624920 | global iter:     36/624920 | loss: 1.4029 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.832 | step time: 1.835
train | epoch   0 | Iter:     40/624920 | global iter:     40/624920 | loss: 1.2803 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.864 | step time: 1.774
train | epoch   0 | Iter:     44/624920 | global iter:     44/624920 | loss: 1.3439 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.745 | step time: 1.805
train | epoch   0 | Iter:     48/624920 | global iter:     48/624920 | loss: 1.3500 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.846 | step time: 1.807
train | epoch   0 | Iter:     52/624920 | global iter:     52/624920 | loss: 1.3191 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.852 | step time: 1.758
train | epoch   0 | Iter:     56/624920 | global iter:     56/624920 | loss: 1.4440 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.791 | step time: 1.757
train | epoch   0 | Iter:     60/624920 | global iter:     60/624920 | loss: 1.2245 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.824 | step time: 1.805
train | epoch   0 | Iter:     64/624920 | global iter:     64/624920 | loss: 1.3788 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.714 | step time: 1.758
train | epoch   0 | Iter:     68/624920 | global iter:     68/624920 | loss: 1.3070 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.804 | step time: 1.791
train | epoch   0 | Iter:     72/624920 | global iter:     72/624920 | loss: 1.2734 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.760 | step time: 1.788
train | epoch   0 | Iter:     76/624920 | global iter:     76/624920 | loss: 1.2155 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.805 | step time: 1.820
train | epoch   0 | Iter:     80/624920 | global iter:     80/624920 | loss: 1.2005 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.800 | step time: 1.775
train | epoch   0 | Iter:     84/624920 | global iter:     84/624920 | loss: 1.2029 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.868 | step time: 1.807
train | epoch   0 | Iter:     88/624920 | global iter:     88/624920 | loss: 1.2209 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.769 | step time: 1.813
train | epoch   0 | Iter:     92/624920 | global iter:     92/624920 | loss: 1.1926 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.811 | step time: 1.812
train | epoch   0 | Iter:     96/624920 | global iter:     96/624920 | loss: 1.2403 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.796 | step time: 1.783
train | epoch   0 | Iter:    100/624920 | global iter:    100/624920 | loss: 1.1379 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.854 | step time: 1.771
train | epoch   0 | Iter:    104/624920 | global iter:    104/624920 | loss: 1.3337 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.665 | step time: 1.757
train | epoch   0 | Iter:    108/624920 | global iter:    108/624920 | loss: 1.0891 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.776 | step time: 1.774
train | epoch   0 | Iter:    112/624920 | global iter:    112/624920 | loss: 1.2039 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.748 | step time: 1.812
train | epoch   0 | Iter:    116/624920 | global iter:    116/624920 | loss: 1.2919 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.829 | step time: 1.818
train | epoch   0 | Iter:    120/624920 | global iter:    120/624920 | loss: 1.1810 | ds_loss: 0.0000 | lr: 5.0000e-05 | scale: 65536.0000 | micro time: 1.825 | step time: 1.788
