

============================== EXP at 2025-04-20 17:00:13 ==============================


============================== EXP at 2025-04-20 17:02:41 ==============================
dev | avg_loss: 2.0112537202380953 | {'exact_match': 0.0, 'rougeL': 8.4765}
train | epoch   0 | Iter:      4/312490 | global iter:      4/312490 | loss: 2.1426 | ds_loss: 2.1995 | lr: 1.0000e-05 | scale: 268435456.0000 | micro time: 1.275 | step time: 1.279
train | epoch   0 | Iter:      8/312490 | global iter:      8/312490 | loss: 1.9281 | ds_loss: 2.0028 | lr: 1.0000e-05 | scale: 16777216.0000 | micro time: 1.273 | step time: 1.274
train | epoch   0 | Iter:     12/312490 | global iter:     12/312490 | loss: 2.0151 | ds_loss: 2.0734 | lr: 1.0000e-05 | scale: 1048576.0000 | micro time: 1.271 | step time: 1.271
train | epoch   0 | Iter:     16/312490 | global iter:     16/312490 | loss: 2.0861 | ds_loss: 2.1298 | lr: 1.0000e-05 | scale: 65536.0000 | micro time: 1.274 | step time: 1.274
train | epoch   0 | Iter:     20/312490 | global iter:     20/312490 | loss: 2.0844 | ds_loss: 2.1140 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.362 | step time: 1.337
train | epoch   0 | Iter:     24/312490 | global iter:     24/312490 | loss: 1.5390 | ds_loss: 1.5861 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.365 | step time: 1.364
train | epoch   0 | Iter:     28/312490 | global iter:     28/312490 | loss: 1.4617 | ds_loss: 1.5023 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.368 | step time: 1.366
train | epoch   0 | Iter:     32/312490 | global iter:     32/312490 | loss: 1.4069 | ds_loss: 1.4437 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.370 | step time: 1.367
train | epoch   0 | Iter:     36/312490 | global iter:     36/312490 | loss: 1.2746 | ds_loss: 1.3414 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.367 | step time: 1.368
train | epoch   0 | Iter:     40/312490 | global iter:     40/312490 | loss: 1.3218 | ds_loss: 1.3691 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.364 | step time: 1.367
train | epoch   0 | Iter:     44/312490 | global iter:     44/312490 | loss: 1.2755 | ds_loss: 1.3255 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.367 | step time: 1.367
train | epoch   0 | Iter:     48/312490 | global iter:     48/312490 | loss: 1.3225 | ds_loss: 1.3693 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.373 | step time: 1.370
train | epoch   0 | Iter:     52/312490 | global iter:     52/312490 | loss: 1.2820 | ds_loss: 1.3326 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.369 | step time: 1.367
train | epoch   0 | Iter:     56/312490 | global iter:     56/312490 | loss: 1.3582 | ds_loss: 1.3962 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.369 | step time: 1.369
train | epoch   0 | Iter:     60/312490 | global iter:     60/312490 | loss: 1.3838 | ds_loss: 1.4387 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.370 | step time: 1.371
train | epoch   0 | Iter:     64/312490 | global iter:     64/312490 | loss: 1.3242 | ds_loss: 1.3761 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 1.375 | step time: 1.372
