

============================== EXP at 2025-04-20 15:56:30 ==============================
dev | avg_loss: 2.0111142113095237 | {'exact_match': 0.0, 'rougeL': 8.6801}
train | epoch   0 | Iter:      6/2499940 | global iter:      4/1249970 | loss: 1.4964 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 536870912.0000 | micro time: 0.309 | step time: 0.455
train | epoch   0 | Iter:     14/2499940 | global iter:      8/1249970 | loss: 2.2815 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 33554432.0000 | micro time: 0.310 | step time: 0.603
train | epoch   0 | Iter:     22/2499940 | global iter:     12/1249970 | loss: 2.2412 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 2097152.0000 | micro time: 0.309 | step time: 0.600
train | epoch   0 | Iter:     30/2499940 | global iter:     16/1249970 | loss: 2.4664 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 131072.0000 | micro time: 0.308 | step time: 0.601
train | epoch   0 | Iter:     38/2499940 | global iter:     20/1249970 | loss: 2.1956 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.440 | step time: 0.632
train | epoch   0 | Iter:     46/2499940 | global iter:     24/1249970 | loss: 1.4501 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.398 | step time: 0.690
train | epoch   0 | Iter:     54/2499940 | global iter:     28/1249970 | loss: 1.2829 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.397 | step time: 0.689
train | epoch   0 | Iter:     62/2499940 | global iter:     32/1249970 | loss: 1.2119 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.399 | step time: 0.691
train | epoch   0 | Iter:     70/2499940 | global iter:     36/1249970 | loss: 1.4692 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.396 | step time: 0.690
train | epoch   0 | Iter:     78/2499940 | global iter:     40/1249970 | loss: 1.3378 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.398 | step time: 0.687
train | epoch   0 | Iter:     86/2499940 | global iter:     44/1249970 | loss: 1.2759 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.395 | step time: 0.691
train | epoch   0 | Iter:     94/2499940 | global iter:     48/1249970 | loss: 1.4801 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.397 | step time: 0.694
train | epoch   0 | Iter:    102/2499940 | global iter:     52/1249970 | loss: 1.3004 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.398 | step time: 0.690
train | epoch   0 | Iter:    110/2499940 | global iter:     56/1249970 | loss: 1.2741 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 16384.0000 | micro time: 0.398 | step time: 0.692
