

============================== EXP at 2025-04-20 03:45:44 ==============================


============================== EXP at 2025-04-20 04:02:10 ==============================
dev | avg_loss: 1.945587158203125 | {'exact_match': 0.0, 'rougeL': 13.4119}
train | epoch   0 | Iter:      6/1249960 | global iter:      4/624980 | loss: 1.6128 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 536870912.0000 | micro time: 1.195 | step time: 1.815
train | epoch   0 | Iter:     14/1249960 | global iter:      8/624980 | loss: 2.3161 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 33554432.0000 | micro time: 1.156 | step time: 2.348
train | epoch   0 | Iter:     22/1249960 | global iter:     12/624980 | loss: 2.3040 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 2097152.0000 | micro time: 1.182 | step time: 2.329
train | epoch   0 | Iter:     30/1249960 | global iter:     16/624980 | loss: 2.1835 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale: 131072.0000 | micro time: 1.181 | step time: 2.300
train | epoch   0 | Iter:     38/1249960 | global iter:     20/624980 | loss: 2.1120 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  8192.0000 | micro time: 1.198 | step time: 2.336
train | epoch   0 | Iter:     46/1249960 | global iter:     24/624980 | loss: 1.6510 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.513 | step time: 2.605
train | epoch   0 | Iter:     54/1249960 | global iter:     28/624980 | loss: 1.2095 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.521 | step time: 2.628
train | epoch   0 | Iter:     62/1249960 | global iter:     32/624980 | loss: 1.2127 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.499 | step time: 2.671
train | epoch   0 | Iter:     70/1249960 | global iter:     36/624980 | loss: 1.0872 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.498 | step time: 2.645
train | epoch   0 | Iter:     78/1249960 | global iter:     40/624980 | loss: 1.0780 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.485 | step time: 2.611
train | epoch   0 | Iter:     86/1249960 | global iter:     44/624980 | loss: 1.2348 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.469 | step time: 2.622
train | epoch   0 | Iter:     94/1249960 | global iter:     48/624980 | loss: 1.0876 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.500 | step time: 2.636
train | epoch   0 | Iter:    102/1249960 | global iter:     52/624980 | loss: 1.0683 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.517 | step time: 2.677
train | epoch   0 | Iter:    110/1249960 | global iter:     56/624980 | loss: 1.0374 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.470 | step time: 2.624
train | epoch   0 | Iter:    118/1249960 | global iter:     60/624980 | loss: 1.0593 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.509 | step time: 2.653
train | epoch   0 | Iter:    126/1249960 | global iter:     64/624980 | loss: 1.0659 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.476 | step time: 2.595
train | epoch   0 | Iter:    134/1249960 | global iter:     68/624980 | loss: 0.9599 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.507 | step time: 2.634
train | epoch   0 | Iter:    142/1249960 | global iter:     72/624980 | loss: 0.9476 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.462 | step time: 2.611
train | epoch   0 | Iter:    150/1249960 | global iter:     76/624980 | loss: 0.9627 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.487 | step time: 2.616
train | epoch   0 | Iter:    158/1249960 | global iter:     80/624980 | loss: 1.0643 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.499 | step time: 2.613
train | epoch   0 | Iter:    166/1249960 | global iter:     84/624980 | loss: 0.8907 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.492 | step time: 2.637
train | epoch   0 | Iter:    174/1249960 | global iter:     88/624980 | loss: 1.0451 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.511 | step time: 2.653
train | epoch   0 | Iter:    182/1249960 | global iter:     92/624980 | loss: 0.9390 | ds_loss: 0.0000 | lr: 1.0000e-05 | scale:  4096.0000 | micro time: 1.535 | step time: 2.645
